Restaurant,Review,Topics,Rating
ayakosushi,"Excellent dishes, quality service",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Staff very dry :(Skewers very average summary : average sushi place.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,3
ayakosushi,"It most tasty sushi I tried this year, just wow! U guys know how to provide good service with excellent taste of food!!",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Food is goodIt's price,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,REAT!!! U know how to cook!! the :),restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Regal from a to i well done great address,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"I love this restaurant, tasty sushi",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,excellentexcellent. we had a blast!!,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Sushi excellent,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Always perfect every time The site could be improved for orders in the event of a request for modifications (say that you want vinegar rice instead of plain rice, or salmon instead of tuna, etc.)",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"This is our 5th time here. Friendly, efficient service with fresh fish, crispy lettuce, good selections and nice cold beer too. Plenty of free parking, and the terrace is a must in good weather.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Excellent very good...,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Great food and service,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,command INTERNET SIMPLE ET efficacy +…COMMANDE INTERNET SIMPLE ET efficacy + TOUJOURS agreeable,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Excellent sushi skewer also welcomes impeccable fast, efficient, polite quality price lunch menu at the top",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Top but waiting time longer than expected…Top but waiting time longer than expected to collect the order,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,4
ayakosushi,"Industrial food, long waiting times, etc. Avoid!",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,2
ayakosushi,"californian menthe food was hot and vegetables fresh. I recommend to try the skewers, they are so god.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,The food was amazing and the service was incredible. A sushi paradise!,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"I have been there a few times to the branch in Grenoble but I will not go back again. OK food good OK prices Bad service from seniors I don't like then the manager deals with as many customers at the same time. It seems a bit rude but I guess they don't see it that way. The manager was taking money from everywhere which makes them look greedy. It just feels like a factory in a rush to take money. The other staff seem OK but they seem to be very cold. I think for me is that the atmosphere is not what one would expect from a sushi restro. I did see one woman leave without ordering because they didn't seem to give her any attention after giving her the menu. It was clear that she needed help but the manager just was more interested in taking money. There is no rapport feeling with manager/ staff and customers. The waiting time is good but the food is nothing special at all. Adieu Also you need to update your opening and closing times on Google if you want money. It says you open at 10.30 on Sundays but in fact you open at 12 noon. You see I am not the only one who said that the Manageress is rude! Le service est détestable, la patron ne nous a mime pas rend notre ""Bonsoir"" et nous avons to publics pendant au coins 20 minutes une fois placés. C'est vraiment dommage, nous n'y pas! PAS du tout If you have a several Managers who are not polite, then how can you expect the staff to be any better? What will happen to your customers in a few years time?",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,1
ayakosushi,Sick since last night I'm emptying myself...Ill since last night I'm completely emptying myself...a nightmare,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,1
ayakosushi,"We have never been disappointed with their…We have never been disappointed with their welcome, speed and of course the quality of their products. It’s a treat every time. We recommend this restaurant with our eyes closed.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Fast service, very good quality fish",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,The online ordering system is easy to use. The sushi is excellent. The prices are fair. The only regret is not being able to collect your order before 7 p.m.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Good products, good welcome, we have been customers for a long time",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Very good meal as usual,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Always very good, top service, welcome and smile. THANKS",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"As is often the case, quality and quantity according to our tastes in any case. Not much choice in the surrounding area but ayano sushi is more of a safe bet for us.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Excellent sushi, meeting quality…Excellent sushi, meeting quality and quantity. Top notch welcome and care, I highly recommend!",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Go there with your eyes closed! Really good Japanese! We have tried many Japanese restaurants and this one is very good. Good quality fresh products. Extremely soft makis. Very good value for money. Takeaway purchases.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Fish not fresh!! Fish not fresh!! The salmon is still okay, but the other fish what a shame. And when we call them to tell them, they dare to answer “ah but you took something other than salmon”. ayano is over for us, some advice, even if it’s more expensive, go to cot Sushi.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,1
ayakosushi,"ayano Sushi 2 Experience Everything was perfect, nothing to say and always very good, we had a great time!",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Orders are always made on time...Orders are always made on time and the staff is smiling :-)The only problem is that it is not offered to use loyalty points from the website and that this is also not highlighted when retrieving the order.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,This was our first order in…It was our first order in this restaurant and we enjoyed it. Added to our favorites (and we're picky) ;-),restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,There is no need to say I recommend it…There is no need to say I recommend it 100 times the fish are fresh and delicious. They melt in your mouth.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Very good sushi, lots of choice, friendly welcome, it was great :)",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Well apart from the young waiter... Well apart from the young waiter of Mexican origin who is very smiling and helpful (thank you young man) the rest of the team is deplorable. Not a word, dishes passed over shoulders without warning, no follow-up at the table, we waited half an hour before they realized we had finished and we had to ask for the dessert menu. In short, if they change jobs, the service does not suit them.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,1
ayakosushi,"Absolutely Delicious 👌🏼 I always take a menu because the choice is vast with fresh, quality products. Very welcoming staff ⭐️⭐️⭐️Whether on site or to take away, I tried both and I am completely satisfied.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Amazing salmon amazing sushi amazing makes amazing coleslaw amazing sashimi. I'm leaving limping, thank you very much. Big Kisses",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Regular customers of the Restaurant de Semécourt, we are satisfied with the always consistent quality of the dishes served or taken away.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"We are very satisfied with the…We are very satisfied with the quality of the products ordered. The order was ready on time and very well packaged. Perfect, nothing to complain about, very friendly staff",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Complete menus offered with affordable prices. Very good quality sushi.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Excellent quality and top service. Keep it up.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"The products are very fresh and well…The products are very fresh and well presented, even to take away.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Nickel, too bad when you order through the app, you don't get an email with the summary of the order and how it is validated",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Very good, high quality products. The match was delicious and the desserts an interesting discovery. We'll come back for sure!!!",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Hello What would be good is if you didn't say you are open while you are not? Because the order last night could not be assured you were closed.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,1
ayakosushi,Fresh and good sushi. Easy ordering. Pleasant staff.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,4
ayakosushi,The staff is always friendly. And for me it is the best value for money in sushi in Quimper.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Very good experience 👍🏻The quantity was more than correct, the quality as well. The soup and salad were great. Point of improvement: the sushi was a little big and putting vinegar in the rice would have been good. Super good experience, I will come back!!",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Sushi 🍣Delicious and fresh Perfect quantity Too bad I was refused to apply the 10% discount for takeaway meals,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,1
ayakosushi,Always very efficient in…Always very efficient in preparing packages. Good Japanese.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"My wife and I eat there once or twice a month! The whole menu is very good but special mention for the chicken as well as the friedrolls. Just remember to check your order when you take out, things are often missing and there are no has no way of reaching them by phone to report it It happened to me several times and I ended up giving up",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,4
ayakosushi,"Great experience, very very good, very fresh as much as on site or to take away. Recommended without moderation",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"It’s a restaurant that will always surprise me with its quality, the freshness of the products in the sector, it’s truly incomparable. Well done to the whole team.🙏",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Hello, Regarding ordering meals via the Web, meals taken on site on the terrace are perfect. On the other hand, meals taken inside are not ideal, we feel the staff are completely disinterested in their work , relations between customers and staff are very cold, relationships do not exist, too bad.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,4
ayakosushi,"As always, a real taste treat",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Good food, decent service. Quite varied menu, friendly staff. We will return to ayano Sushi joy Aux Arches",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,4
ayakosushi,"order 2 Bento n°2 on the 2 Bento n°2 on the practical, always ready on timecopious, fresh and quality products come back regularly!I recommend +++++",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"The dishes are tasty, the staff attentive. I have been a loyal customer for years and never disappointed!!",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,They forgot the drinks despite the…They forgot the drinks despite the fact that I said there was something strange when I came to collect my order.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,1
ayakosushi,I love this restaurant. I've tried a lot of sushi in my life but Shinko's is truly the best. Plus they are huge 😍😍 I recommend,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,We regularly order from this restaurant. The sushi is good and fresh and very good value for money.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Very good service, the products are fresh and we eat there regularly. I recommend.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"The sushi is excellent, the welcome is great. I really recommend this restaurant.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"First order via the app. First order via the app. Easy to navigate to find them. Dishes, menus, desserts. The recovery time is correct, it was written 7:45 p.m. Everything was ready when I arrived at 7:45 p.m. What is a little confusing is that at the end of the order, the amount to be paid on site is indicated, but once we have validated we no longer see anything of it. So we don't know if there is a bug or not, if the order was placed correctly or not. It's stressful. Otherwise the dishes are very good, I recommend.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"first meal this lunchtime, very…first meal this lunchtime, very pleasant atmosphere, the food is quality; the staff very fast and smiling! see you soon",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Overall, it was good, but the salad was not seasoned properly and the soup was very bland. It's better when we eat in, I don't know if I'll get takeout again.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,4
ayakosushi,True to expectations. Cuisine in line with expectations and above all qualitative.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,It's a shame about the service point of sale not suitable for takeaway meals order confirmation never received loyalty program not activated the order was good. that's already it!,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,4
ayakosushi,"The quantities of sauces have reduced a lot, there is barely the bottom of the container and two bottoms of sauce pots for 20 spring rolls, that's just The coleslaw has also been reduced and the ginger too It's a shame because the rest is very good",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,3
ayakosushi,"Quality sushi, quality sauce. The 🤤 We enjoy it every time, thank you!",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"During a takeaway sale: Very warm welcome, quality products, preparation of the perfect order",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Fast service, quality product and welcoming staff Very affordable prices, especially the daily menus",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Excellent restaurant! Everything is delicious with exceptional professional staff thank you,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"The sushi is good, the welcome a little cold but cordial, and as with all sushi, it's not cheap, but overall the experience is good!",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,4
ayakosushi,"Pleasant welcome, quality products.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Fresh and well prepared Punctual takeout order I like the fresh black radish placed with the sushi. I just need a little parsley.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,The service is efficient. The dishes are always just as good. Value for money at the appointment.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Just a small downside on the confirmation of taking into account the order on the application. Otherwise RAS,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,4
ayakosushi,"Tasty dishes, very pleasant and friendly staff. We are always satisfied.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Always perfect, the makis, sushi and rolls are delicious. I recommend",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Very good value for money.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"Very good value for money. The products are very good, the table or takeaway service is fast and careful. I recommend!",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"We found on the rolls...We found on my son's shrimp rolls, the paper from the shrimp packaging and on three rolls! Not just on one occasion that he noticed",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,1
ayakosushi,"Never disappointed with the quality of the sushi. Very good, very convenient online ordering service",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"I wrote to you to regularity the situation with my loyalty points, you never replied to me A disappointed customer Card number: 0253765131",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,1
ayakosushi,"Dishonest boss and not commercial. Error on the map which has not been corrected. I got cucumber california when they were supposed to be avocado. The boss admits that there is an error on the menu but since I ate one, he refuses to change the other 5. Too bad for me who doesn't like cucumber. It's a high price to pay for a mistake on their part. I do not recommend this establishment which does not respect its customers.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,1
ayakosushi,Bof. Quite annoying to be harassed by email to leave a review. We ordered takeaway on the website. The order was not ready at the appointed time (around 10/15 minutes late). Sushi didn't really have any taste. Everything is in a plastic tray. Ugh,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,2
ayakosushi,"The order was ready when I arrived, everything was very well packaged and very good",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,"This time we were very disappointed, the salad was spotted with black and therefore inedible with the spring rolls. These were soft instead of their usual crunchy!!! And we had 16 bad luck for us 🤷‍♀️The quality has therefore dropped significantly compared to all the other times but the price has not decreased… so very disappointed",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,3
ayakosushi,"A delight. We have never been disappointed. The only downside is that we cannot give a comment on the application, e.g. Ex. If we want a menu without rice.",restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,4
ayakosushi,Very welcoming and the dishes are good…Very welcoming and the dishes are good and fresh,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Quality products presented with…Quality products presented with care,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Very good sushi. Fast and quality delivery. Small downside on prices,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,4
ayakosushi,Everything was perfect,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Great meal for two.Great meal for two.The sushi is as usual….excellent.Never disappointed.,restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
ayakosushi,Very good Japanese restaurant. Nice card. Pleasant service (the staff is really great),restaurant good; good fresh; perfect usual; missing order; order time; good sushi; excellent quality; order ordering; sushi good; delicious fast,5
